,school_MS,sex_F,age,address_R,famsize_LE3,Pstatus_T,Medu,Fedu,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_teacher,Fjob_other,Fjob_services,Fjob_health,Fjob_at_home,reason_course,reason_other,reason_home,reason_reputation,failures_x,nursery_yes,internet_yes,absences_x,G1_x,G2_x,G3_x,failures_y,absences_y,G1_y,G2_y,G3_y,traveltime,studytime,famrel,freetime,goout,Dalc,Walc,health,guardian_mother,guardian_father,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,higher_yes,romantic_yes
0,0.0,1.0,0.8181818181818182,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,0.5789473684210527,0.5789473684210527,0.0,0.08,0.2631578947368421,0.3157894736842105,0.3,0.5,0.5,0.8,0.6,0.8,0.2,0.2,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0.0,1.0,0.7727272727272727,0.0,0.0,1.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.47368421052631576,0.5789473684210527,0.5789473684210527,0.0,0.05333333333333334,0.2631578947368421,0.2631578947368421,0.3,0.25,0.5,1.0,0.6,0.6,0.2,0.2,0.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,0.0,1.0,0.6818181818181818,0.0,1.0,1.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1875,0.631578947368421,0.6842105263157895,0.631578947368421,1.0,0.13333333333333333,0.3684210526315789,0.42105263157894735,0.5,0.25,0.5,0.8,0.6,0.4,0.4,0.6,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3,0.0,1.0,0.6818181818181818,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.0,0.02666666666666667,0.7894736842105263,0.7368421052631579,0.75,0.25,0.75,0.6,0.4,0.4,0.2,0.2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
4,0.0,1.0,0.7272727272727273,0.0,0.0,1.0,0.75,0.75,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5789473684210527,0.6842105263157895,0.6842105263157895,0.0,0.05333333333333334,0.3157894736842105,0.5263157894736842,0.5,0.25,0.5,0.8,0.6,0.4,0.2,0.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,0.0,0.0,0.7272727272727273,0.0,1.0,1.0,1.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1875,0.631578947368421,0.631578947368421,0.6842105263157895,0.0,0.13333333333333333,0.7894736842105263,0.7894736842105263,0.75,0.25,0.5,1.0,0.8,0.4,0.2,0.4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
6,0.0,0.0,0.7272727272727273,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6842105263157895,0.631578947368421,0.6842105263157895,0.0,0.0,0.631578947368421,0.631578947368421,0.55,0.25,0.5,0.8,0.8,0.8,0.2,0.2,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,0.0,1.0,0.7727272727272727,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0625,0.5263157894736842,0.6842105263157895,0.6842105263157895,0.0,0.08,0.3157894736842105,0.2631578947368421,0.3,0.5,0.5,0.8,0.2,0.8,0.2,0.2,0.2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
8,0.0,0.0,0.6818181818181818,0.0,1.0,0.0,0.75,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7894736842105263,0.8421052631578947,0.8947368421052632,0.0,0.0,0.8421052631578947,0.9473684210526315,0.95,0.25,0.5,0.8,0.4,0.4,0.2,0.2,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9,0.0,0.0,0.6818181818181818,0.0,0.0,1.0,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.631578947368421,0.631578947368421,0.6842105263157895,0.0,0.0,0.7368421052631579,0.7894736842105263,0.75,0.25,0.5,1.0,1.0,0.2,0.2,0.2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
10,0.0,1.0,0.6818181818181818,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0625,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.0,0.0,0.5263157894736842,0.42105263157894735,0.45,0.25,0.5,0.6,0.6,0.6,0.2,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11,0.0,1.0,0.6818181818181818,0.0,0.0,1.0,0.5,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5263157894736842,0.631578947368421,0.6842105263157895,0.0,0.05333333333333334,0.5263157894736842,0.631578947368421,0.6,0.75,0.75,1.0,0.4,0.4,0.2,0.2,0.8,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
12,0.0,0.0,0.6818181818181818,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.631578947368421,0.6842105263157895,0.631578947368421,0.0,0.02666666666666667,0.7368421052631579,0.7368421052631579,0.7,0.25,0.25,0.8,0.6,0.6,0.2,0.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
